FIPSCode,State,JurisdictionName,D1a,D1Comments,D2a,D2b,D2c,D2d_Other,D2d,D2e,D2f,D2g_Other,D2g,D2Comments,D3a,D3Comments,D4a,D4b,D4c,D4d,D4e,D4f,D4Comments,D5,D5Comments
0200000000,AK,ALASKA,441, ,624,441,0,-999999: Data Not Available,-999999: Data Not Available,178,5, ,-999999: Data Not Available,NOTE:  LOCATIONS LISTED IN D2E AND IN D2F ARE ALSO OPEN ON ELECTION DAY IN ADDITION TO BEING OPEN PRIOR TO ELECTION DAY BUT ARE CONSIDERED EARLY VOTING LOCATIONS.,2730, ,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable, ,2, 
0100100000,AL,AUTAUGA COUNTY,17, ,17,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available, ,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available,-999999: Data Not Available, ,-9999999, 
0100300000,AL,BALDWIN COUNTY,87,-888888.,87,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,499,-888888.,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,6,-888888.
0100500000,AL,BARBOUR COUNTY,21,-888888.,21,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,124,-888888.,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,6,-888888.
0100700000,AL,BIBB COUNTY,16,-888888.,16,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,86,-888888.,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,6,-888888.
0100900000,AL,BLOUNT COUNTY,28,-888888.,28,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,125,-888888.,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,6,-888888.
0101100000,AL,BULLOCK COUNTY,17,-888888.,17,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,103,-888888.,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,6,-888888.
0101300000,AL,BUTLER COUNTY,22,-888888.,22,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,147,-888888.,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,6,-888888.
0101500000,AL,CALHOUN COUNTY,46,-888888.,46,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,326,-888888.,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,6,-888888.
0101700000,AL,CHAMBERS COUNTY,39,-888888.,39,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888.,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,6,-888888.
0101900000,AL,CHEROKEE COUNTY,23,-888888.,23,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-999999: Data Not Available,-888888: Not Applicable,-888888: Not Applicable, ,-999999: Data Not Available, ,-888888: Not Applicable,-888888.,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888: Not Applicable,-888888.,6,-888888.
